  Time            lo        
HH:MM:SS   KB/s in  KB/s out
12:20:25      0.00      0.00
12:20:25      0.00      0.00
12:20:26      0.00      0.00
12:20:26      0.00      0.00
12:20:26      0.00      0.00
12:20:26      0.00      0.00
12:20:26      0.00      0.00
12:20:26      0.00      0.00
12:20:26      0.00      0.00
12:20:26      0.00      0.00
12:20:26      0.00      0.00
12:20:26      0.00      0.00
12:20:27      0.00      0.00
12:20:27      0.00      0.00
12:20:27      0.00      0.00
12:20:27      0.00      0.00
12:20:27      0.00      0.00
12:20:27      0.00      0.00
12:20:27      0.00      0.00
12:20:27      0.00      0.00
12:20:27      0.00      0.00
12:20:27      0.00      0.00
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
12:20:28      0.00      0.00
12:20:28      0.00      0.00
12:20:28      0.00      0.00
12:20:29      0.00      0.00
12:20:29      0.00      0.00
12:20:29      0.00      0.00
12:20:29      0.00      0.00
12:20:29      0.00      0.00
12:20:29      0.00      0.00
12:20:29      0.00      0.00
12:20:29      0.00      0.00
12:20:29      0.00      0.00
12:20:29      0.00      0.00
12:20:30      0.00      0.00
12:20:30      0.00      0.00
12:20:30      0.00      0.00
12:20:30      0.00      0.00
12:20:30      0.00      0.00
12:20:30      0.00      0.00
12:20:30      0.00      0.00
12:20:30      0.00      0.00
12:20:30      0.00      0.00
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
12:20:30      0.00      0.00
12:20:31      0.00      0.00
12:20:31      0.00      0.00
12:20:31      0.00      0.00
12:20:31      0.00      0.00
12:20:31      0.00      0.00
12:20:31      0.00      0.00
12:20:31      0.00      0.00
12:20:31      0.00      0.00
12:20:31      0.00      0.00
12:20:31      0.00      0.00
12:20:32      0.00      0.00
12:20:32      0.00      0.00
12:20:32      0.00      0.00
12:20:32      0.00      0.00
12:20:32      0.00      0.00
12:20:32      0.00      0.00
12:20:32      0.00      0.00
12:20:32      0.00      0.00
12:20:32      0.00      0.00
12:20:32      0.00      0.00
12:20:33      0.00      0.00
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
12:20:33      0.00      0.00
12:20:33      0.00      0.00
12:20:33      0.00      0.00
12:20:33      0.00      0.00
12:20:33      0.00      0.00
12:20:33      0.00      0.00
12:20:33      0.00      0.00
12:20:33      0.00      0.00
12:20:33      0.00      0.00
12:20:34      0.00      0.00
12:20:34      0.00      0.00
12:20:34      0.00      0.00
12:20:34      0.00      0.00
12:20:34      0.00      0.00
12:20:34      0.00      0.00
12:20:34      0.00      0.00
12:20:34      0.00      0.00
12:20:34      0.00      0.00
12:20:34      0.00      0.00
12:20:35      0.00      0.00
12:20:35      0.00      0.00
12:20:35      0.00      0.00
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
12:20:35      0.00      0.00
12:20:35      0.00      0.00
12:20:35      0.00      0.00
12:20:35  40157.87  40157.87
12:20:35  46320.78  46320.78
12:20:35  27528.94  27528.94
12:20:35   7645.26   7645.26
12:20:36   7345.79   7345.79
12:20:36   7745.04   7745.04
12:20:36   7542.97   7542.97
12:20:36   7296.63   7296.63
12:20:36   7869.34   7869.34
12:20:36   7721.59   7721.59
12:20:36   7952.19   7952.19
12:20:36   7535.79   7535.79
12:20:36   7238.99   7238.99
12:20:37   7829.55   7829.55
12:20:37   7911.88   7911.88
12:20:37   7858.75   7858.75
12:20:37   7593.40   7593.40
12:20:37   7934.95   7934.95
12:20:37   7601.65   7601.65
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
12:20:37   7484.80   7484.80
12:20:37   7519.64   7519.64
12:20:37   7928.81   7928.81
12:20:37   7711.84   7711.84
12:20:38   7855.98   7855.98
12:20:38   7634.75   7634.75
12:20:38   7619.19   7619.19
12:20:38   7375.26   7375.26
12:20:38   7042.89   7042.89
12:20:38   7784.96   7784.96
12:20:38   7970.78   7970.78
12:20:38   7611.05   7611.05
12:20:38   7928.97   7928.97
12:20:38   7897.31   7897.31
12:20:39   7897.39   7897.39
12:20:39   7849.61   7849.61
12:20:39   6875.42   6875.42
12:20:39   7184.96   7184.96
12:20:39   7983.22   7983.22
12:20:39   7934.48   7934.48
12:20:39   7928.97   7928.97
12:20:39   7941.25   7941.25
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
12:20:39   7942.44   7942.44
12:20:39   7485.39   7485.39
12:20:40   6332.37   6332.37
12:20:40   7673.93   7673.93
12:20:40   7844.96   7844.96
12:20:40   6085.07   6085.07
12:20:40   8086.83   8086.83
12:20:40   7584.94   7584.94
12:20:40   7971.11   7971.11
12:20:40   7829.03   7829.03
12:20:40   7222.34   7222.34
12:20:40   7970.82   7970.82
12:20:41   8064.95   8064.95
12:20:41   7637.08   7637.08
12:20:41   8035.66   8035.66
12:20:41   8029.03   8029.03
12:20:41   6689.11   6689.11
12:20:41   7034.41   7034.41
12:20:41   7720.60   7720.60
12:20:41   7812.77   7812.77
12:20:41   8137.78   8137.78
12:20:41   8025.35   8025.35
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
12:20:42   7937.93   7937.93
12:20:42   8091.40   8091.40
12:20:42   7892.34   7892.34
12:20:42   6815.97   6815.97
12:20:42   8053.52   8053.52
12:20:42   8155.00   8155.00
12:20:42   8140.26   8140.26
12:20:42   8055.28   8055.28
12:20:42   8032.08   8032.08
12:20:42   7841.59   7841.59
12:20:43   7813.39   7813.39
12:20:43   7323.37   7323.37
12:20:43   8041.22   8041.22
12:20:43   7445.94   7445.94
12:20:43   7931.04   7931.04
12:20:43   7044.32   7044.32
12:20:43   7861.69   7861.69
12:20:43   7922.86   7922.86
12:20:43   7422.65   7422.65
12:20:43   7742.63   7742.63
12:20:44   7743.69   7743.69
12:20:44   7647.59   7647.59
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
12:20:44   7756.64   7756.64
12:20:44   7742.33   7742.33
12:20:44   7908.05   7908.05
12:20:44   7446.01   7446.01
12:20:44   6929.17   6929.17
12:20:44   7630.93   7630.93
12:20:44   7928.63   7928.63
12:20:44   1635.36   1635.36
12:20:45      0.00      0.00
12:20:45      0.00      0.00
12:20:45      0.00      0.00
12:20:45      0.00      0.00
12:20:45      0.00      0.00
12:20:45      0.00      0.00
12:20:45      0.00      0.00
12:20:45      0.00      0.00
12:20:45      0.00      0.00
12:20:45      0.00      0.00
12:20:46      0.00      0.00
12:20:46      0.00      0.00
12:20:46      0.00      0.00
12:20:46      0.00      0.00
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
12:20:46      0.00      0.00
12:20:46      0.00      0.00
12:20:46      0.00      0.00
12:20:46      0.00      0.00
12:20:46      0.00      0.00
12:20:46      0.00      0.00
12:20:47      0.00      0.00
12:20:47      0.00      0.00
12:20:47      0.00      0.00
12:20:47      0.00      0.00
12:20:47      0.00      0.00
12:20:47      0.00      0.00
12:20:47      0.00      0.00
12:20:47      0.00      0.00
12:20:47      0.00      0.00
12:20:47      0.00      0.00
12:20:48      0.00      0.00
12:20:48      0.00      0.00
12:20:48      0.00      0.00
12:20:48      0.00      0.00
12:20:48      0.00      0.00
12:20:48      0.00      0.00
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
12:20:48      0.00      0.00
12:20:48      0.00      0.00
12:20:48      0.00      0.00
12:20:48      0.00      0.00
12:20:49      0.00      0.00
12:20:49      0.00      0.00
12:20:49      0.00      0.00
12:20:49      0.00      0.00
12:20:49      0.00      0.00
12:20:49      0.00      0.00
12:20:49      0.00      0.00
12:20:49      0.00      0.00
12:20:49      0.00      0.00
12:20:49      0.00      0.00
12:20:50      0.00      0.00
12:20:50      0.00      0.00
12:20:50      0.00      0.00
12:20:50      0.00      0.00
12:20:50      0.00      0.00
